cond	pre.wm.s	post.wm.s	pre.wm.v	post.wm.v
aer	15	12	0	0
aer	21	12	22	23
aer	18	15	13	22
aer	15	12	23	25
aer	18	21	31	32
aer	17	12	20	17
aer	20	12	34	25
aer	18	21	10	16
aer	19	23	13	8
aer	18	11	22	34
aer	18	23	0	0
aer	12	18	18	31
aer	14	11	8	6
aer	15	19	9	18
aer	20	11	21	33
aer	16	23	19	24
aer	17	11	7	10
aer	25	37	29	0
aer	2	24	13	0
aer	19	24	0	4
aer	18	25	13	13
aer	3	18	28	0
aer	16	22	25	0
aer	17	22	6	0
aer	16	20	13	13
aer	4	29	18	2
aer	19	26	6	0
aer	19	25	12	9
aer	3	29	2	20
aer	22	31	21	16
aer	19	28	22	10
aer	21	26	13	11
aer	2	27	28	30
aer	13	17	16	17
aer	18	25	16	31
aer	17	26	10	20
aer	3	22	13	3
aer	19	20	6	16
aer	18	21	28	29
aer	2	21	4	12
aer	23	32	20	28
aer	16	24	18	16
aer	3	20	19	24
aer	16	22	9	10
aer	22	30	12	33
aer	2	30	8	33
aer	18	25	6	4
aer	20	29	2	19
aer	1	18	19	20
aer	19	27	8	5
aer	21	20	11	0
aer	2	21	0	0
aer	17	20	1	11
aer	17	27	10	10
aer	3	32	14	11
aer	16	28	15	9
aer	13	16	10	11
aer	2	23	8	14
aer	20	25	19	10
aer	24	28	14	33
aer	3	27	15	19
aer	19	22	10	18
aer	14	21	7	16
aer	14	22	13	41
aer	15	22	0	11
aer	18	24	14	37
aer	17	29	35	33
aer	15	18	7	0
aer	16	23	18	30
aer	20	26	5	0
aer	20	30	10	15
aer	21	30	32	37
aer	13	23	15	38
aer	22	28	28	43
aer	16	21	20	26
aer	15	23	0	6
aer	15	17	36	35
aer	13	18	19	35
aer	23	29	14	11
aer	20	27	12	8
aer	14	23	0	0
aer	17	24	7	19
aer	22	27	24	27
aer	13	22	6	15
aer	21	23	23	21
aer	20	32	35	39
aer	14	22	15	20
aer	19	29	13	19
aer	20	26	16	32
aer	21	29	7	14
aer	15	15	0	0
aer	21	31	27	32
aer	17	24	9	14
aer	17	23	2	12
aer	21	30	7	5
aer	17	24	0	0
aer	19	27	16	30
aer	22	31	14	15
aer	23	32	24	25
aer	18	27	11	13
