cond	pre.wm.s	post.wm.s	pre.wm.v	post.wm.v
des	18	23	27	24
des	15	17	15	16
des	20	21	25	41
des	15	15	13	17
des	19	24	17	25
des	18	20	21	26
des	16	24	7	3
des	21	21	17	4
des	19	22	17	28
des	20	26	18	18
des	13	26	16	13
des	14	23	12	0
des	15	19	10	2
des	15	16	20	15
des	17	26	7	17
des	20	24	37	47
des	11	26	26	44
des	18	23	6	18
des	23	31	8	19
des	16	24	16	0
des	14	20	16	35
des	21	25	6	17
des	19	21	12	14
des	20	20	29	19
des	19	25	26	42
des	22	24	22	0
des	19	21	37	40
des	18	30	22	19
des	17	21	12	21
des	19	25	0	9
des	26	29	19	33
des	19	23	1	0
des	20	17	0	0
des	16	21	15	14
des	18	21	4	18
des	25	31	13	23
des	19	24	25	30
des	23	28	30	32
des	14	20	15	15
des	19	25	18	20
des	19	22	26	31
des	11	16	29	30
des	22	25	22	14
des	14	20	5	4
des	14	29	9	15
des	17	19	20	23
des	17	22	9	16
des	19	28	10	0
des	22	27	16	22
des	18	26	23	7
des	20	26	14	15
des	15	27	17	34
des	19	29	32	35
des	18	22	21	28
des	14	14	0	0
des	20	21	19	10
des	13	24	12	3
des	13	15	16	29
des	17	25	9	23
des	18	19	8	9
des	21	20	7	8
des	19	22	16	8
des	19	23	22	1
des	16	25	32	16
des	19	25	7	16
des	20	19	15	26
des	15	23	13	12
des	18	16	18	23
des	21	27	15	12
des	20	24	15	13
des	17	19	27	38
des	24	33	37	37
des	18	24	16	3
des	18	21	11	13
des	21	27	17	2
des	21	25	18	8
des	19	24	16	27
des	14	20	15	9
des	18	18	23	17
des	12	29	22	0
des	23	33	25	18
des	16	22	24	24
des	19	26	14	29
des	18	24	10	15
des	24	21	16	15
des	19	29	8	14
des	19	22	9	10
des	15	20	9	14
des	16	21	4	0
des	17	21	8	16
des	16	20	25	27
des	24	29	18	23
des	23	21	6	20
des	19	22	12	5
des	17	28	12	18
des	18	26	11	0
des	18	21	23	35
des	10	11	12	16
des	20	27	45	52
des	16	20	17	36
